Label,Extrema_Type,Index,Time_FITS,Time_JD,Pixel_Row,Pixel_Col,Latitude,Longitude,Value_NH3,Value_PCloud,Value_RGB
RGB,minima,29,2024-12-03T06:18:37.412,2460647.762933007,21,176,-6,184,112.64757521515288,1918.3478297032368,0.4952710656558766
RGB,minima,30,2024-12-03T06:28:27.529,2460647.769763072,4,172,11,188,83.20228046977759,1710.7608466292231,0.4386005419142106
RGB,minima,31,2024-12-03T06:50:40.200,2460647.7851875,16,159,-1,201,136.7413908828409,1966.2385556506756,0.5285490447282791
RGB,minima,32,2024-12-03T06:53:10.800,2460647.7869305555,21,158,-6,202,115.61440495579771,2025.350163557052,0.5062745362520218
RGB,minima,33,2024-12-03T06:56:22.755,2460647.7891522534,4,155,11,205,84.65833946205774,1755.492869645994,0.4489086230970778
RGB,minima,34,2024-12-03T07:01:32.880,2460647.7927416665,12,149,3,211,138.95639002798976,1848.179492879637,0.5217255133390427
RGB,minima,35,2024-12-03T07:07:49.200,2460647.797097222,4,145,11,215,81.10088926182394,1721.1192602233612,0.49019608497619627
RGB,minima,36,2024-12-03T07:10:48.429,2460647.799171627,24,139,-9,221,93.04720755907071,1926.382413972344,0.5350140290600913
RGB,minima,37,2024-12-03T03:45:43.500,2460647.656753472,13,129,2,231,138.12121104366187,1802.7811687278167,0.537647082656622
RGB,minima,38,2024-12-03T00:19:27.000,2460647.5135069443,6,121,9,239,118.87281293342086,1895.4852284067001,0.40980392694473267
RGB,minima,39,2024-12-02T16:58:16.054,2460647.207130255,16,108,-1,252,125.41157614493392,1902.9574890822535,0.5300477147102356
RGB,minima,40,2024-12-02T12:56:18.000,2460647.0390972225,12,100,3,260,129.1465058664814,1835.8770130620546,0.5269249379634857
RGB,minima,41,2024-12-02T06:13:57.750,2460646.75969618,16,86,-1,274,126.9089964448531,1946.8227279915568,0.5139215908944607
RGB,minima,42,2024-12-02T03:34:00.000,2460646.648611111,5,73,10,287,118.06803329523919,1860.3729010580041,0.4588235318660736
RGB,minima,43,2024-12-02T03:42:33.692,2460646.654556624,16,63,-1,297,119.17504032962313,1963.833814097715,0.5061086123952498
RGB,minima,44,2024-12-02T04:21:32.571,2460646.681626984,13,40,2,320,124.24757278350646,1822.140965963314,0.5292517208323186
RGB,minima,45,2024-12-02T04:37:36.000,2460646.6927777776,19,28,-4,332,120.49608315086206,2002.105514674898,0.5129411935806274
RGB,minima,46,2024-12-02T04:37:36.000,2460646.6927777776,6,28,9,332,116.27794966692367,1876.071659105739,0.4423529446125031
RGB,minima,47,2024-12-02T04:46:38.270,2460646.699054054,4,15,11,345,82.34153499291091,1829.4055199198963,0.4688924309369681
RGB,minima,48,2024-12-02T04:48:03.000,2460646.700034722,17,13,-2,347,119.99251385924788,1931.0405070852237,0.5303921848535538
RGB,minima,49,2024-12-02T04:48:56.743,2460646.700656746,4,9,11,351,82.12965222044345,1843.4901189617365,0.4878431524549212
