Tags,label,jd_time,fits_time,area,eccentricity,centroid_lat,centroid_lon,weighted_centroid_lat_seg,weighted_centroid_lon_seg,seg_intensity_mean,seg_intensity_min,seg_intensity_max,intensity_mean,intensity_min,intensity_max,threshold
,3,2460995.828,2025-11-16T07:51:46.615,5,0.816496581,4.6,98.2,4.597956743,98.20049848,145.8400347,145.0167544,146.7223461,1822.49233,1813.611036,1830.569116,145
,4,2460995.832,2025-11-16T07:58:18.000,22,0.925364092,4.090909091,104.2272727,4.089646689,104.2229863,147.3388305,145.1126064,151.5432011,1804.215793,1741.388307,1847.797084,145
,1,2461023.697,2025-12-14T04:44:00.000,3,0.816496581,3.333333333,21.33333333,3.335845915,21.33311444,147.299037,146.2854642,148.4093395,1705.669787,1693.234278,1719.43822,145
,2,2461023.701,2025-12-14T04:49:15.000,48,0.940916034,3.25,35.79166667,3.25131807,35.76967389,149.95621,145.0562684,157.1591244,1938.552535,1834.585732,2012.129493,145
,3,2461023.719,2025-12-14T05:15:37.500,52,0.953931019,3.903846154,69.25,3.903659396,69.27685945,152.1641876,145.60088,159.9571301,1831.405623,1752.140072,1928.020669,145
,4,2461023.749,2025-12-14T05:58:14.423,8,0.894427191,3.5,106.5,3.50070341,106.497749,147.0070174,145.7463795,148.5275759,1811.843901,1792.264942,1840.722823,145
,5,2461023.777,2025-12-14T06:39:33.243,243,0.907899118,2.510288066,138.781893,2.610079901,138.8638366,155.9317353,145.0318642,177.0955639,1900.930578,1738.907293,2073.690638,145
,6,2461023.801,2025-12-14T07:13:00.000,17,0.534522484,4.352941176,178.5882353,4.362130788,178.5906215,149.98958,145.138385,153.7700403,1772.718677,1742.332047,1820.800236,145
,1,2461024.902,2025-12-15T09:39:30.000,45,0.931597685,2.844444444,35.68888889,2.845335643,35.6949581,146.6780809,145.0580746,148.8762349,1909.751851,1859.235565,1968.478762,145
,2,2461025.013,2025-12-15T12:18:00.000,4,0.790569415,3.25,141,3.249700142,140.9994484,145.4047366,145.1090911,145.8495983,1871.95451,1862.718354,1879.877484,145
,1,2461025.701,2025-12-16T04:49:44.706,801,0.592095993,0.615480649,19.00374532,0.868721627,18.16112582,175.2858062,145.0070472,255.4105396,1923.151442,1789.886694,2050.439594,145
,2,2461025.837,2025-12-16T08:05:24.490,128,0.908454772,3.3984375,139.6328125,3.412027826,139.6218389,149.9918519,145.0685503,156.6864081,1895.845677,1806.756487,1984.12856,145
,1,2461031.871,2025-12-22T08:54:47.143,4,0.836165849,2.5,37.75,2.499599674,37.74875478,145.5129579,145.2047121,145.854259,1892.207319,1875.182472,1917.674376,145
,1,2461039.661,2025-12-30T03:51:26.250,42,0.835738007,4.095238095,35.80952381,4.100438409,35.80386408,149.4332317,145.1205654,154.7631511,1826.419991,1763.452885,1947.060258,145
,2,2461039.698,2025-12-30T04:44:34.800,59,0.9745987,5.169491525,68.84745763,5.176085701,68.8693673,148.6645891,145.0058103,152.8606307,1817.370247,1787.871268,1848.577184,145
,3,2461039.743,2025-12-30T05:49:21.176,119,0.960034234,4.722689076,109.3865546,4.729141424,109.3629334,151.9400699,145.1151091,162.3249432,1934.7208,1822.880866,2145.166499,145
,4,2461039.78,2025-12-30T06:43:00.000,181,0.925919674,4.524861878,141.8066298,4.543069625,141.8576393,159.5176515,145.0115727,180.9920834,1888.223553,1752.559763,2212.362127,145
,5,2461039.823,2025-12-30T07:44:35.870,3,0.816496581,4.666666667,179.6666667,4.666436085,179.6679288,145.5707587,145.0195704,146.0212489,1767.09273,1757.571287,1774.680768,145
